date,monthly_change,mortgage_rate
1939-10-01,0.0,0.055
1939-11-01,0.0,0.055
1939-12-01,-0.0049999999999999975,0.05
1940-01-01,0.0,0.05
1940-02-01,0.0,0.05
1940-03-01,0.0,0.05
1940-04-01,0.0,0.05
1940-05-01,0.0,0.05
1940-06-01,0.0,0.05
1940-07-01,0.0,0.05
1940-08-01,0.0,0.05
1940-09-01,0.0,0.05
1940-10-01,0.0,0.05
1940-11-01,0.0,0.05
1940-12-01,0.0,0.05
1941-01-01,0.0,0.05
1941-02-01,0.0,0.05
1941-03-01,0.0,0.05
1941-04-01,0.0,0.05
1941-05-01,0.0,0.05
1941-06-01,0.0,0.05
1941-07-01,0.0,0.05
1941-08-01,0.0,0.05
1941-09-01,0.0,0.05
1941-10-01,0.0,0.05
1941-11-01,0.0,0.05
1941-12-01,0.0,0.05
1942-01-01,0.0,0.05
1942-02-01,0.0,0.05
1942-03-01,0.0,0.05
1942-04-01,0.0,0.05
1942-05-01,0.0,0.05
1942-06-01,0.0,0.05
1942-07-01,0.0,0.05
1942-08-01,0.0,0.05
1942-09-01,0.0,0.05
1942-10-01,0.0,0.05
1942-11-01,0.0,0.05
1942-12-01,0.0,0.05
1943-01-01,0.0,0.05
1943-02-01,0.0,0.05
1943-03-01,0.0,0.05
1943-04-01,0.0,0.05
1943-05-01,0.0,0.05
1943-06-01,0.0,0.05
1943-07-01,0.0,0.05
1943-08-01,0.0,0.05
1943-09-01,0.0,0.05
1943-10-01,0.0,0.05
1943-11-01,0.0,0.05
1943-12-01,0.0,0.05
1944-01-01,0.0,0.05
1944-02-01,0.0,0.05
1944-03-01,0.0,0.05
1944-04-01,0.0,0.05
1944-05-01,0.0,0.05
1944-06-01,0.0,0.05
1944-07-01,0.0,0.05
1944-08-01,0.0,0.05
1944-09-01,0.0,0.05
1944-10-01,0.0,0.05
1944-11-01,0.0,0.05
1944-12-01,0.0,0.05
1945-01-01,0.0,0.05
1945-02-01,0.0,0.05
1945-03-01,0.0,0.05
1945-04-01,0.0,0.05
1945-05-01,0.0,0.05
1945-06-01,0.0,0.05
1945-07-01,0.0,0.05
1945-08-01,0.0,0.05
1945-09-01,-0.010000000000000002,0.04
1945-10-01,0.0,0.04
1945-11-01,0.0,0.04
1945-12-01,0.0,0.04
1946-01-01,0.0,0.04
1946-02-01,0.0,0.04
1946-03-01,0.0,0.04
1946-04-01,0.0,0.04
1946-05-01,0.0,0.04
1946-06-01,0.0,0.04
1946-07-01,0.0,0.04
1946-08-01,0.0,0.04
1946-09-01,0.0,0.04
1946-10-01,0.0,0.04
1946-11-01,0.0,0.04
1946-12-01,0.0,0.04
1947-01-01,0.0,0.04
1947-02-01,0.0,0.04
1947-03-01,0.0,0.04
1947-04-01,0.0,0.04
1947-05-01,0.0,0.04
1947-06-01,0.0,0.04
1947-07-01,0.0,0.04
1947-08-01,0.0,0.04
1947-09-01,0.0,0.04
1947-10-01,0.0,0.04
1947-11-01,0.0,0.04
1947-12-01,0.0,0.04
1948-01-01,0.0,0.04
1948-02-01,0.0,0.04
1948-03-01,0.0,0.04
1948-04-01,0.0,0.04
1948-05-01,0.0,0.04
1948-06-01,0.0,0.04
1948-07-01,0.0,0.04
1948-08-01,0.0,0.04
1948-09-01,0.0,0.04
1948-10-01,0.0,0.04
1948-11-01,0.0,0.04
1948-12-01,0.0,0.04
1949-01-01,0.0,0.04
1949-02-01,0.0,0.04
1949-03-01,0.0,0.04
1949-04-01,0.0,0.04
