date,region,flat_price
1999-03-01,South East,56546.0
1999-03-01,London,99014.0
1999-04-01,Inner London,119116.0
1999-04-01,Outer London,79838.0
1999-04-01,South East,56959.0
1999-04-01,London,100454.0
1999-05-01,Inner London,121749.0
1999-05-01,Outer London,81208.0
1999-05-01,London,102693.0
1999-05-01,South East,57881.0
1999-06-01,Outer London,82415.0
1999-06-01,Inner London,123890.0
1999-06-01,London,103961.0
1999-06-01,South East,58850.0
1999-07-01,Inner London,127264.0
1999-07-01,Outer London,83836.0
1999-07-01,South East,59128.0
1999-07-01,London,107428.0
1999-08-01,Outer London,85375.0
1999-08-01,Inner London,130624.0
1999-08-01,London,109846.0
1999-08-01,South East,61234.0
1999-09-01,Outer London,87192.0
1999-09-01,Inner London,135782.0
1999-09-01,London,114018.0
1999-09-01,South East,63282.0
1999-10-01,Outer London,89194.0
1999-10-01,Inner London,138084.0
1999-10-01,South East,64230.0
1999-10-01,London,113930.0
1999-11-01,Outer London,91246.0
1999-11-01,Inner London,140154.0
1999-11-01,London,116120.0
1999-11-01,South East,65145.0
1999-12-01,Outer London,93158.0
1999-12-01,Inner London,141678.0
1999-12-01,London,119324.0
1999-12-01,South East,66954.0
2000-01-01,Outer London,94760.0
2000-01-01,Inner London,143994.0
2000-01-01,London,119775.0
2000-01-01,South East,66203.0
2000-02-01,Outer London,96134.0
2000-02-01,Inner London,147401.0
2000-02-01,London,123025.0
2000-02-01,South East,67193.0
2000-03-01,Inner London,149224.0
2000-03-01,Outer London,97297.0
2000-03-01,South East,68740.0
2000-03-01,London,123751.0
2000-04-01,Outer London,99657.0
2000-04-01,Inner London,154819.0
2000-04-01,South East,72168.0
2000-04-01,London,131287.0
2000-05-01,Outer London,102155.0
2000-05-01,Inner London,157154.0
2000-05-01,London,130444.0
2000-05-01,South East,72862.0
2000-06-01,Outer London,104595.0
2000-06-01,Inner London,161414.0
2000-06-01,London,133633.0
2000-06-01,South East,74970.0
2000-07-01,Inner London,163005.0
2000-07-01,Outer London,105666.0
2000-07-01,South East,73989.0
2000-07-01,London,135255.0
2000-08-01,Inner London,166362.0
2000-08-01,Outer London,107076.0
2000-08-01,South East,76813.0
2000-08-01,London,137349.0
2000-09-01,Inner London,167724.0
2000-09-01,Outer London,108152.0
2000-09-01,London,137303.0
2000-09-01,South East,76441.0
2000-10-01,Outer London,108717.0
2000-10-01,Inner London,166619.0
2000-10-01,South East,75572.0
2000-10-01,London,134766.0
2000-11-01,Outer London,108500.0
2000-11-01,Inner London,167974.0
2000-11-01,South East,76330.0
2000-11-01,London,138756.0
2000-12-01,Inner London,168520.0
2000-12-01,Outer London,108779.0
2000-12-01,South East,78517.0
2000-12-01,London,138512.0
2001-01-01,Inner London,171734.0
2001-01-01,Outer London,109228.0
2001-01-01,South East,76859.0
2001-01-01,London,139803.0
2001-02-01,Outer London,110009.0
2001-02-01,Inner London,170991.0
2001-02-01,South East,77087.0
2001-02-01,London,139205.0
2001-03-01,Inner London,172849.0
2001-03-01,Outer London,110244.0
2001-03-01,South East,78689.0
2001-03-01,London,141390.0
2001-04-01,Outer London,111090.0
2001-04-01,Inner London,174228.0
2001-04-01,South East,80211.0
2001-04-01,London,143096.0
2001-05-01,Outer London,112515.0
2001-05-01,Inner London,178969.0
2001-05-01,London,147841.0
2001-05-01,South East,81713.0
2001-06-01,Outer London,114811.0
2001-06-01,Inner London,182693.0
2001-06-01,South East,84815.0
2001-06-01,London,150303.0
2001-07-01,Outer London,116945.0
2001-07-01,Inner London,185607.0
2001-07-01,London,150686.0
2001-07-01,South East,84038.0
2001-08-01,Inner London,187712.0
2001-08-01,Outer London,119245.0
2001-08-01,London,154702.0
2001-08-01,South East,86444.0
2001-09-01,Inner London,188372.0
2001-09-01,Outer London,121165.0
2001-09-01,London,154603.0
2001-09-01,South East,87444.0
2001-10-01,Inner London,189510.0
2001-10-01,Outer London,122867.0
2001-10-01,London,155212.0
2001-10-01,South East,88085.0
2001-11-01,Inner London,189458.0
2001-11-01,Outer London,124259.0
2001-11-01,South East,89623.0
2001-11-01,London,157127.0
2001-12-01,Outer London,125682.0
2001-12-01,Inner London,191122.0
2001-12-01,South East,92098.0
2001-12-01,London,159294.0
2002-01-01,Inner London,192551.0
2002-01-01,Outer London,127088.0
2002-01-01,South East,91054.0
2002-01-01,London,159571.0
2002-02-01,Outer London,127971.0
2002-02-01,Inner London,194023.0
2002-02-01,South East,91273.0
2002-02-01,London,160609.0
2002-03-01,Inner London,195497.0
2002-03-01,Outer London,128978.0
2002-03-01,South East,93220.0
2002-03-01,London,162997.0
2002-04-01,Inner London,199969.0
2002-04-01,Outer London,131351.0
2002-04-01,London,169594.0
2002-04-01,South East,95625.0
2002-05-01,Outer London,134503.0
2002-05-01,Inner London,205326.0
2002-05-01,South East,97995.0
2002-05-01,London,173169.0
2002-06-01,Outer London,138100.0
2002-06-01,Inner London,211748.0
2002-06-01,South East,101275.0
2002-06-01,London,177731.0
2002-07-01,Outer London,141159.0
2002-07-01,Inner London,215738.0
2002-07-01,South East,101704.0
2002-07-01,London,180217.0
2002-08-01,Inner London,219398.0
2002-08-01,Outer London,144574.0
2002-08-01,South East,105680.0
2002-08-01,London,183990.0
2002-09-01,Outer London,147455.0
2002-09-01,Inner London,221419.0
2002-09-01,London,185466.0
2002-09-01,South East,107162.0
2002-10-01,Outer London,150009.0
2002-10-01,Inner London,222883.0
2002-10-01,London,186640.0
2002-10-01,South East,108500.0
2002-11-01,Inner London,225158.0
2002-11-01,Outer London,152320.0
2002-11-01,London,191037.0
2002-11-01,South East,111107.0
2002-12-01,Inner London,226265.0
2002-12-01,Outer London,154823.0
2002-12-01,South East,113532.0
2002-12-01,London,191288.0
2003-01-01,Outer London,157445.0
2003-01-01,Inner London,228253.0
2003-01-01,South East,114153.0
2003-01-01,London,193835.0
2003-02-01,Inner London,227324.0
2003-02-01,Outer London,159540.0
2003-02-01,South East,114455.0
2003-02-01,London,193416.0
2003-03-01,Inner London,226916.0
2003-03-01,Outer London,160426.0
2003-03-01,London,192259.0
2003-03-01,South East,116187.0
2003-04-01,Inner London,227386.0
2003-04-01,Outer London,160916.0
2003-04-01,London,195308.0
2003-04-01,South East,116887.0
2003-05-01,Inner London,228881.0
