observation_date,HVMRUKM
1963-10-01,6.00
1963-11-01,6.00
1963-12-01,6.00
1964-01-01,6.00
1964-02-01,6.00
1964-03-01,6.00
1964-04-01,6.00
1964-05-01,6.00
1964-06-01,6.00
1964-07-01,6.00
1964-08-01,6.00
1964-09-01,6.00
1964-10-01,6.00
1964-11-01,6.00
1964-12-01,6.00
1965-01-01,6.00
1965-02-01,6.75
1965-03-01,6.75
1965-04-01,6.75
1965-05-01,6.75
1965-06-01,6.75
1965-07-01,6.75
1965-08-01,6.75
1965-09-01,6.75
1965-10-01,6.75
1965-11-01,6.75
1965-12-01,6.75
1966-01-01,6.75
1966-02-01,6.75
1966-03-01,6.75
1966-04-01,6.75
1966-05-01,7.13
1966-06-01,7.13
1966-07-01,7.13
1966-08-01,7.13
1966-09-01,7.13
1966-10-01,7.13
1966-11-01,7.13
1966-12-01,7.13
1967-01-01,7.13
1967-02-01,7.13
1967-03-01,7.13
1967-04-01,7.13
1967-05-01,7.13
1967-06-01,7.13
1967-07-01,7.13
1967-08-01,7.13
1967-09-01,7.13
1967-10-01,7.13
1967-11-01,7.13
1967-12-01,7.13
1968-01-01,7.13
1968-02-01,7.13
1968-03-01,7.13
1968-04-01,7.13
1968-05-01,7.63
1968-06-01,7.63
1968-07-01,7.63
1968-08-01,7.63
1968-09-01,7.63
1968-10-01,7.63
1968-11-01,7.63
1968-12-01,7.63
1969-01-01,7.63
1969-02-01,7.63
1969-03-01,7.63
1969-04-01,8.50
1969-05-01,8.50
1969-06-01,8.50
1969-07-01,8.50
1969-08-01,8.50
1969-09-01,8.50
1969-10-01,8.50
1969-11-01,8.50
1969-12-01,8.50
1970-01-01,8.50
1970-02-01,8.50
1970-03-01,8.50
1970-04-01,8.50
1970-05-01,8.50
1970-06-01,8.50
1970-07-01,8.50
1970-08-01,8.50
1970-09-01,8.50
1970-10-01,8.50
1970-11-01,8.50
1970-12-01,8.50
1971-01-01,8.50
1971-02-01,8.50
1971-03-01,8.50
1971-04-01,8.50
1971-05-01,8.50
1971-06-01,8.50
1971-07-01,8.50
1971-08-01,8.50
1971-09-01,8.50
1971-10-01,8.50
1971-11-01,8.00
1971-12-01,8.00
1972-01-01,8.00
1972-02-01,8.00
1972-03-01,8.00
1972-04-01,8.00
