date,annual_rate,source
2023-03-01,8.841201716738196,recent
2023-04-01,7.815126050420178,recent
2023-05-01,7.852965747702583,recent
2023-06-01,7.385892116182577,recent
2023-07-01,6.435643564356433,recent
2023-08-01,6.239737274220039,recent
2023-09-01,6.377759607522483,recent
2023-10-01,4.746580852775536,recent
2023-11-01,4.16666666666667,recent
2023-12-01,4.150039904229851,recent
2024-01-01,4.16666666666667,recent
2024-02-01,3.809523809523819,recent
2024-03-01,3.785488958990534,recent
2024-04-01,3.039750584567402,recent
2024-05-01,2.7885360185902357,recent
2024-06-01,2.782071097372484,recent
2024-07-01,3.023255813953493,recent
2024-08-01,3.091190108191654,recent
2024-09-01,2.613374327440435,recent
2024-10-01,3.149001536098328,recent
2024-11-01,3.538461538461534,recent
2024-12-01,3.524904214559382,recent
2025-01-01,3.923076923076919,recent
2025-02-01,3.6697247706421883,recent
2025-03-01,3.4194528875379944,recent
2025-04-01,4.160363086232981,recent
2025-05-01,3.9939713639789085,recent
2025-06-01,4.0601503759398545,recent
